fs_method	integration_method	MedianRank	Lower95Rank	Upper95Rank	Top5Probability
Brennecke	cellcharter	20.0	12.5	22.0	0.0
Brennecke	scvi	28.0	22.0	28.0	0.0
anticor	cellcharter	18.0	14.0	21.0	0.0
anticor	scvi	14.0	11.0	19.0	0.0
dubstepr	cellcharter	18.0	15.0	20.0	0.0
dubstepr	scvi	8.0	2.0	10.5	0.4435
hotspot	cellcharter	12.5	7.0	19.012499999999932	0.0
hotspot	scvi	15.5	9.0	22.0	0.0
morans_i	cellcharter	16.5	13.0	19.5	0.0
morans_i	scvi	17.0	13.5	24.5	0.0
nbumi	cellcharter	5.0	4.0	5.0	1.0
nbumi	scvi	7.0	4.0	17.5	0.1345
nnsvg	cellcharter	21.0	16.0	23.0	0.0
nnsvg	scvi	9.0	7.5	11.5	0.0015
osca	cellcharter	8.5	5.987500000000001	12.0	0.014
osca	scvi	3.5	2.0	7.0	0.7715
scPNMF	cellcharter	29.0	26.0	29.0	0.0
scPNMF	scvi	21.0	19.0	24.0	0.0
scanpy_cell_ranger	cellcharter	9.0	7.5	15.5	0.0
scanpy_cell_ranger	scvi	17.0	7.5	18.0	0.002
scanpy_cell_ranger_batch	cellcharter	4.0	2.0	9.0	0.871
scanpy_cell_ranger_batch	scvi	11.5	4.0	16.0	0.17
scanpy_pearson	cellcharter	20.0	10.5	27.0	0.0
scanpy_pearson	scvi	7.0	5.0	10.0	0.033
scanpy_pearson_batch	cellcharter	16.0	11.0	19.5	0.0
scanpy_pearson_batch	scvi	20.0	19.0	24.5	0.0
scanpy_seurat	cellcharter	14.0	10.0	21.0	0.0
scanpy_seurat	scvi	24.0	7.5	27.0	0.005
scanpy_seurat_batch	cellcharter	16.5	12.0	21.0	0.0
scanpy_seurat_batch	scvi	21.0	15.5	23.0	0.0
scanpy_seurat_v3	cellcharter	1.0	1.0	3.0	1.0
scanpy_seurat_v3	scvi	6.0	4.0	17.5	0.4365
scanpy_seurat_v3_batch	cellcharter	3.0	1.0	4.0	1.0
scanpy_seurat_v3_batch	scvi	17.0	14.0	19.0	0.0
scry	cellcharter	24.0	22.5	25.0	0.0
scry	scvi	26.0	24.0	28.0	0.0
seurat_disp	cellcharter	23.0	22.0	26.0	0.0
seurat_disp	scvi	21.5	19.0	24.0	0.0
seurat_mvp	cellcharter	9.0	6.0	13.0	0.0
seurat_mvp	scvi	23.0	11.0	26.0	0.0
seurat_sct	cellcharter	25.0	23.0	27.0	0.0
seurat_sct	scvi	11.5	7.0	14.0	0.0
seurat_vst	cellcharter	2.0	1.0	3.0	1.0
seurat_vst	scvi	4.0	3.0	12.0	0.763
singleCellHaystack	cellcharter	8.0	6.0	15.0	0.0
singleCellHaystack	scvi	12.5	5.0	15.5	0.037
somde	cellcharter	12.5	8.0	17.5	0.0
somde	scvi	2.0	2.0	9.0	0.925
sparkx	cellcharter	26.5	22.0	28.0	0.0
sparkx	scvi	25.0	21.0	28.0	0.0
spatialde	cellcharter	11.0	9.0	15.0	0.0
spatialde	scvi	10.0	5.0	16.0	0.132
statistic_mean	cellcharter	28.0	28.0	29.0	0.0
statistic_mean	scvi	29.0	29.0	29.0	0.0
statistic_variance	cellcharter	26.0	25.0	27.0	0.0
statistic_variance	scvi	26.0	24.0	28.0	0.0
triku	cellcharter	6.5	5.0	8.5	0.099
triku	scvi	1.0	1.0	1.0	1.0
